




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
FRANKFORT PCT 022             1451                          177                           251                           131                           559                           92                            287                           191                           570                           1129                          
FRANKFORT PCT 023             1275                          78                            214                           170                           462                           81                            249                           194                           524                           986                           
FRANKFORT PCT 024             1358                          130                           303                           200                           633                           40                            186                           156                           382                           1015                          
FRANKFORT PCT 025             1264                          104                           213                           241                           558                           55                            227                           193                           475                           1033                          
FRANKFORT PCT 026             1508                          121                           265                           189                           575                           77                            314                           222                           613                           1188                          
FRANKFORT PCT 027             1416                          86                            247                           223                           556                           35                            251                           293                           579                           1135                          
FRANKFORT PCT 028             2074                          200                           369                           374                           943                           66                            313                           301                           680                           1623                          
GREEN GARDEN PCT 001          1497                          101                           177                           195                           473                           54                            271                           360                           685                           1158                          
GREEN GARDEN PCT 002          1547                          101                           153                           279                           533                           52                            254                           400                           706                           1239                          
HOMER PCT 001                 1466                          87                            166                           310                           563                           29                            182                           281                           492                           1055                          
HOMER PCT 002                 1585                          108                           164                           248                           520                           71                            352                           277                           700                           1220                          
HOMER PCT 003                 1239                          111                           171                           211                           493                           36                            231                           207                           474                           967                           
HOMER PCT 004                 1432                          110                           204                           210                           524                           59                            330                           223                           612                           1136                          
HOMER PCT 005                 1130                          79                            166                           153                           398                           39                            209                           186                           434                           832                           
HOMER PCT 006                 1451                          132                           173                           245                           550                           63                            232                           202                           497                           1047                          
HOMER PCT 007                 1418                          104                           207                           254                           565                           49                            246                           212                           507                           1072                          
HOMER PCT 008                 1407                          138                           192                           213                           543                           59                            238                           180                           477                           1020                          
HOMER PCT 009                 1141                          87                            117                           234                           438                           42                            135                           217                           394                           832                           
HOMER PCT 010                 1000                          86                            97                            136                           319                           55                            156                           204                           415                           734                           
HOMER PCT 011                 1432                          115                           195                           270                           580                           49                            229                           226                           504                           1084                          
HOMER PCT 012                 1514                          79                            181                           193                           453                           61                            274                           304                           639                           1092                          
HOMER PCT 013                 1557                          139                           241                           277                           657                           56                            264                           228                           548                           1205                          
HOMER PCT 014                 1507                          106                           185                           282                           573                           64                            233                           274                           571                           1144                          
HOMER PCT 015                 1848                          130                           362                           268                           760                           66                            320                           203                           589                           1349                          
HOMER PCT 016                 2145                          173                           380                           327                           880                           70                            355                           300                           725                           1605                          
HOMER PCT 017                 1558                          97                            176                           179                           452                           104                           303                           330                           737                           1189                          
HOMER PCT 018                 1974                          138                           378                           329                           845                           66                            334                           242                           642                           1487                          
HOMER PCT 019                 1671                          151                           221                           309                           681                           49                            224                           326                           599                           1280                          
JACKSON PCT 001               1578                          108                           215                           334                           657                           26                            207                           301                           534                           1191                          
JACKSON PCT 002               1353                          95                            155                           278                           528                           38                            157                           300                           495                           1023                          
JOLIET PCT 001                1361                          92                            144                           295                           531                           17                            71                            189                           277                           808                           
JOLIET PCT 002                1197                          88                            124                           288                           500                           25                            76                            185                           286                           786                           
JOLIET PCT 003                1150                          72                            123                           284                           479                           21                            73                            163                           257                           736                           
JOLIET PCT 004                1182                          46                            122                           278                           446                           18                            59                            136                           213                           659                           
JOLIET PCT 005                958                           46                            119                           111                           276                           12                            66                            80                            158                           434                           
JOLIET PCT 006                908                           42                            134                           150                           326                           2                             60                            80                            142                           468                           
JOLIET PCT 007                1104                          80                            138                           217                           435                           17                            77                            134                           228                           663                           
JOLIET PCT 008                1033                          77                            121                           265                           463                           14                            64                            153                           231                           694                           
JOLIET PCT 009                1820                          131                           192                           347                           670                           27                            99                            210                           336                           1006                          
JOLIET PCT 010                1355                          100                           160                           358                           618                           21                            88                            181                           290                           908                           
JOLIET PCT 011                1286                          74                            148                           305                           527                           22                            81                            150                           253                           780                           
JOLIET PCT 012                1180                          43                            123                           238                           404                           15                            67                            100                           182                           586                           
JOLIET PCT 013                1117                          39                            121                           216                           376                           13                            49                            99                            161                           537                           
JOLIET PCT 014                1088                          41                            124                           260                           425                           10                            43                            117                           170                           595                           
JOLIET PCT 015                1139                          62                            124                           230                           416                           9                             59                            115                           183                           599                           
JOLIET PCT 016                1160                          61                            141                           201                           403                           20                            74                            153                           247                           650                           
JOLIET PCT 017                1251                          100                           163                           287                           550                           25                            91                            191                           307                           857                           
JOLIET PCT 018                1334                          126                           201                           352                           679                           46                            114                           209                           369                           1048                          
JOLIET PCT 019                1140                          107                           165                           251                           523                           18                            99                            121                           238                           761                           
JOLIET PCT 020                1091                          87                            127                           264                           478                           22                            112                           188                           322                           800                           
JOLIET PCT 021                630                           19                            59                            189                           267                           12                            34                            74                            120                           387                           
JOLIET PCT 022                1007                          54                            93                            191                           338                           13                            73                            101                           187                           525                           
JOLIET PCT 023                1021                          43                            70                            167                           280                           11                            55                            89                            155                           435                           
JOLIET PCT 024                1080                          56                            93                            222                           371                           12                            60                            131                           203                           574                           
JOLIET PCT 025                811                           95                            94                            174                           363                           15                            46                            107                           168                           531                           
JOLIET PCT 026                1125                          88                            132                           266                           486                           17                            60                            125                           202                           688                           
JOLIET PCT 027                849                           30                            93                            179                           302                           5                             35                            87                            127                           429                           
JOLIET PCT 028                946                           32                            101                           144                           277                           12                            42                            84                            138                           415                           
JOLIET PCT 029                1143                          75                            152                           182                           409                           22                            73                            96                            191                           600                           
JOLIET PCT 030                1179                          62                            117                           288                           467                           15                            55                            163                           233                           700                           
JOLIET PCT 031                1154                          66                            142                           251                           459                           21                            86                            135                           242                           701                           
JOLIET PCT 032                849                           45                            118                           170                           333                           4                             56                            71                            131                           464                           
JOLIET PCT 033                1043                          49                            63                            309                           421                           13                            46                            182                           241                           662                           
JOLIET PCT 034                947                           42                            142                           159                           343                           15                            79                            81                            175                           518                           
JOLIET PCT 035                1115                          113                           149                           195                           457                           22                            90                            108                           220                           677                           
JOLIET PCT 036                921                           58                            136                           165                           359                           6                             65                            105                           176                           535                           
JOLIET PCT 037                1179                          103                           160                           203                           466                           26                            105                           138                           269                           735                           
LOCKPORT PCT 001              1811                          329                           225                           419                           973                           98                            148                           284                           530                           1503                          
LOCKPORT PCT 002              1723                          103                           227                           451                           781                           18                            146                           231                           395                           1176                          
LOCKPORT PCT 003              1608                          102                           134                           465                           701                           18                            84                            198                           300                           1001                          
LOCKPORT PCT 004              1354                          104                           151                           312                           567                           11                            85                            201                           297                           864                           
LOCKPORT PCT 005              1389                          106                           177                           280                           563                           28                            203                           269                           500                           1063                          
LOCKPORT PCT 006              1886                          131                           236                           519                           886                           30                            94                            248                           372                           1258                          
LOCKPORT PCT 007              1841                          115                           214                           565                           894                           37                            108                           260                           405                           1299                          
LOCKPORT PCT 008              1571                          87                            221                           348                           656                           24                            106                           168                           298                           954                           
LOCKPORT PCT 009              2080                          268                           252                           463                           983                           72                            142                           292                           506                           1489                          
LOCKPORT PCT 010              1437                          90                            201                           312                           603                           25                            186                           257                           468                           1071                          
LOCKPORT PCT 011              1429                          104                           228                           267                           599                           33                            166                           205                           404                           1003                          
LOCKPORT PCT 012              1506                          98                            260                           278                           636                           34                            208                           203                           445                           1081                          
LOCKPORT PCT 013              1958                          287                           260                           471                           1018                          84                            182                           302                           568                           1586                          
LOCKPORT PCT 014              1308                          80                            140                           331                           551                           27                            137                           206                           370                           921                           
LOCKPORT PCT 015              1283                          92                            148                           355                           595                           11                            72                            188                           271                           866                           
LOCKPORT PCT 016              1481                          102                           221                           325                           648                           27                            161                           214                           402                           1050                          
LOCKPORT PCT 017              1423                          102                           289                           203                           594                           25                            243                           185                           453                           1047                          
LOCKPORT PCT 018              1581                          115                           235                           284                           634                           36                            210                           190                           436                           1070                          
LOCKPORT PCT 019              1446                          176                           262                           297                           735                           60                            179                           177                           416                           1151                          
LOCKPORT PCT 020              1165                          94                            139                           252                           485                           21                            108                           163                           292                           777                           
LOCKPORT PCT 021              1359                          103                           143                           271                           517                           31                            65                            184                           280                           797                           
LOCKPORT PCT 022              1070                          60                            105                           270                           435                           16                            75                            174                           265                           700                           
LOCKPORT PCT 023              1006                          55                            87                            247                           389                           21                            58                            150                           229                           618                           
LOCKPORT PCT 024              812                           44                            83                            169                           296                           9                             44                            91                            144                           440                           
MANHATTAN PCT 001             1626                          127                           253                           343                           723                           50                            219                           228                           497                           1220                          
MANHATTAN PCT 002             1951                          132                           299                           414                           845                           28                            288                           319                           635                           1480                          
MANHATTAN PCT 003             1337                          94                            205                           217                           516                           40                            220                           276                           536                           1052                          
MANHATTAN PCT 004             1571                          89                            294                           366                           749                           27                            211                           254                           492                           1241                          
MANHATTAN PCT 005             1824                          118                           261                           383                           762                           40                            306                           358                           704                           1466                          
MONEE PCT 001                 1078                          106                           202                           198                           506                           26                            70                            97                            193                           699                           
MONEE PCT 002                 1257                          100                           165                           238                           503                           17                            85                            129                           231                           734                           
MONEE PCT 003                 1396                          94                            178                           361                           633                           13                            122                           248                           383                           1016                          
MONEE PCT 004                 1529                          117                           191                           419                           727                           29                            118                           226                           373                           1100                          
MONEE PCT 005                 1028                          56                            125                           209                           390                           13                            48                            98                            159                           549                           
MONEE PCT 006                 807                           46                            106                           175                           327                           7                             35                            89                            131                           458                           
MONEE PCT 007                 1146                          78                            214                           246                           538                           9                             84                            114                           207                           745                           
MONEE PCT 008                 1313                          90                            117                           366                           573                           22                            96                            274                           392                           965                           
NEW LENOX PCT 001             1354                          108                           212                           215                           535                           24                            216                           212                           452                           987                           
NEW LENOX PCT 002             1814                          156                           260                           342                           758                           69                            330                           319                           718                           1476                          
NEW LENOX PCT 003             1194                          111                           169                           228                           508                           51                            192                           194                           437                           945                           
NEW LENOX PCT 004             971                           69                            91                            231                           391                           21                            159                           207                           387                           778                           
NEW LENOX PCT 005             1279                          89                            226                           228                           543                           34                            223                           213                           470                           1013                          
NEW LENOX PCT 006             1447                          116                           144                           253                           513                           56                            253                           334                           643                           1156                          
NEW LENOX PCT 007             1650                          165                           190                           155                           510                           102                           385                           313                           800                           1310                          
NEW LENOX PCT 008             1321                          115                           182                           171                           468                           58                            281                           230                           569                           1037                          
NEW LENOX PCT 009             915                           52                            110                           202                           364                           29                            132                           222                           383                           747                           
NEW LENOX PCT 010             1601                          133                           310                           280                           723                           48                            314                           193                           555                           1278                          
NEW LENOX PCT 011             1792                          118                           263                           317                           698                           43                            324                           352                           719                           1417                          
NEW LENOX PCT 012             1372                          93                            203                           285                           581                           30                            197                           243                           470                           1051                          
NEW LENOX PCT 013             1733                          141                           315                           321                           777                           49                            305                           225                           579                           1356                          
NEW LENOX PCT 014             2052                          160                           323                           470                           953                           59                            294                           382                           735                           1688                          
NEW LENOX PCT 015             1507                          129                           264                           224                           617                           60                            306                           239                           605                           1222                          
NEW LENOX PCT 016             1304                          125                           233                           229                           587                           42                            198                           211                           451                           1038                          
NEW LENOX PCT 017             1347                          131                           223                           247                           601                           46                            227                           217                           490                           1091                          
NEW LENOX PCT 018             1727                          133                           213                           367                           713                           32                            239                           286                           557                           1270                          
NEW LENOX PCT 019             2035                          146                           315                           354                           815                           69                            338                           356                           763                           1578                          
NEW LENOX PCT 020             2168                          175                           317                           404                           896                           73                            380                           381                           834                           1730                          
PEOTONE PCT 001               1454                          89                            97                            362                           548                           43                            128                           420                           591                           1139                          
PEOTONE PCT 002               1483                          105                           76                            380                           561                           34                            99                            428                           561                           1122                          
PLAINFIELD PCT 001            1585                          167                           231                           344                           742                           38                            155                           214                           407                           1149                          
PLAINFIELD PCT 002            1601                          129                           219                           299                           647                           41                            210                           256                           507                           1154                          
PLAINFIELD PCT 003            1490                          134                           179                           304                           617                           59                            166                           261                           486                           1103                          
PLAINFIELD PCT 004            1419                          76                            164                           429                           669                           11                            62                            229                           302                           971                           
PLAINFIELD PCT 005            1441                          103                           137                           420                           660                           32                            84                            236                           352                           1012                          
PLAINFIELD PCT 006            927                           52                            64                            333                           449                           6                             31                            168                           205                           654                           
PLAINFIELD PCT 007            1900                          146                           236                           506                           888                           33                            110                           241                           384                           1272                          
PLAINFIELD PCT 008            1649                          140                           303                           404                           847                           31                            176                           261                           468                           1315                          
PLAINFIELD PCT 009            1906                          165                           316                           325                           806                           68                            256                           218                           542                           1348                          
PLAINFIELD PCT 010            1236                          95                            157                           283                           535                           41                            164                           146                           351                           886                           
